Agriculture and Food Production,Food Waste,tons
Year,TerraTrade Network,AgroChain Management,CropConnect Logistics,HarvestLink Systems,FarmGate Transit,AgriFlow Solutions,Verdant Distribution
trend,single_valley,volatile_falling,periodic_stable,stable_falling,stable_rising,periodic_stable,volatile_rising
2010,6003.01,9749.25,10149.71,9437.25,10349.37,10081.03,10184.96
2011,4006.47,9312.68,12000.76,10309.76,10426.77,12268.89,10486.79
2012,2941.85,9384.02,11586.08,10683.73,10997.42,11432.46,10769.65
2013,2240.97,7059.68,8401.65,11452.27,11891.48,8633.52,11197.46
2014,3675.06,7519.22,7647.98,11228.16,11643.95,7680.75,13867.87
2015,2048.32,6830.91,9923.06,11860.82,12149.09,9631.91,15266.54
2016,3033.94,7597.18,12385.15,12357.79,12838.76,12258.27,14430.64
2017,3533.45,5796.6,11404.43,12366.2,13360.9,11490.27,15811.12
2018,4028.78,5466.55,9074.13,12429.71,14169.88,8502.9,15933.03
2019,4449.04,3329.81,7468.35,13023.4,14724.42,7575.41,17437.04
2020,5491.81,3722.17,10109.25,12511.93,14755.46,9612.49,17298.6
