Marketing and Sales,the Correlation of Marketing and Sales,linear,negative
Email open rate (%),Bounce rate (%)
5.0,62.6
5.8,48.71
6.61,80.0
7.41,47.57
8.21,59.47
9.02,61.35
9.82,31.82
10.62,58.2
11.43,34.62
12.23,44.56
13.04,53.97
13.84,43.78
14.64,53.18
15.45,39.37
16.25,43.98
17.05,59.03
17.86,35.42
18.66,42.58
19.46,50.43
20.27,35.72
21.07,51.77
21.88,35.52
22.68,45.37
23.48,42.19
24.29,21.65
25.09,52.82
25.89,26.78
26.7,36.77
27.5,62.1
28.3,32.39
29.11,36.9
29.91,22.31
30.71,42.31
31.52,35.69
32.32,46.71
33.12,36.82
33.93,45.42
34.73,44.56
35.54,47.72
36.34,28.58
37.14,30.09
37.95,47.15
38.75,37.55
39.55,43.75
40.36,22.48
41.16,59.57
41.96,36.13
42.77,10.0
43.57,50.27
44.38,27.63
45.18,32.2
45.98,56.93
46.79,45.29
47.59,21.08
48.39,36.62
49.2,23.66
50.0,23.39
