Business and Finance,Operating Expenses,$
Year,NovaTech Solutions,Apex Systems,Aegis Corp,Horizon Enterprises
trend,exponential_rising,exponential_rising,exponential_falling,volatile_falling
1976,5386157.73,5111140.44,6253477.06,4853712.42
1977,5651573.96,4772197.96,5577825.56,4104323.33
1978,5325089.52,5013769.35,3684080.63,4992798.4
1979,6006230.18,7064811.62,3867069.74,4281687.21
1980,7793501.97,6606601.68,2117536.16,4531243.77
1981,7895435.65,8510305.85,2812286.52,5096660.77
1982,9228047.66,8970015.14,3087071.3,4563854.26
1983,9101568.92,10658995.67,2249497.09,2313375.34
1984,12063928.11,10770950.08,2078472.28,1012879.13
1985,11172174.29,12038211.61,1936631.38,841823.27
1986,14044669.44,13117182.46,2795579.51,2614381.66
1987,13705138.69,14979059.07,2094070.33,1057880.61
1988,15667070.23,15764196.79,1711699.28,1979789.47
1989,16980865.89,16925807.43,902186.05,2127137.93
1990,19110432.88,18374197.18,928872.28,50000.0
1991,20936477.01,21454275.58,1567525.16,50000.0
1992,22215719.58,22747713.71,50000.0,50000.0
1993,25833091.5,25970642.25,645450.39,50000.0
1994,27989659.54,28725729.76,1208921.0,174662.17
1995,31734142.16,31003097.4,1250895.45,1295492.03
1996,34230469.82,34069105.19,50000.0,50000.0
1997,36086147.69,37493368.3,393658.8,50000.0
1998,40339185.62,40943964.96,50000.0,50000.0
1999,45564348.91,44898962.04,611628.48,1267798.26
2000,48490128.07,50293680.09,50000.0,50000.0
