Food and Beverage Industry,Average Order Value,$
Year,Breakfast Rush Order,Loyalty Member Order,Express Takeaway,Seasonal Special Order,Standard Dine-in
trend,stable_rising,exponential_falling,periodic_stable,stable_rising,exponential_rising
2003,31.81,29.31,30.51,28.51,26.43
2004,33.32,24.78,36.86,31.74,30.21
2005,34.52,21.02,34.35,35.66,38.93
2006,31.84,22.4,26.21,32.79,39.08
2007,37.75,18.53,23.78,35.21,44.49
2008,38.17,13.54,28.55,37.15,47.24
2009,40.88,11.81,36.89,39.43,51.98
2010,40.25,11.21,35.05,38.16,56.01
2011,39.94,12.59,26.23,41.01,63.33
2012,43.05,10.79,23.62,45.13,69.84
2013,44.77,6.1,30.0,45.26,75.99
2014,47.47,6.69,36.7,47.25,87.89
2015,49.23,9.52,33.97,49.04,94.9
2016,50.64,7.5,25.89,50.56,101.01
2017,50.53,7.2,24.18,50.29,114.8
2018,53.43,2.04,30.49,54.56,127.95
2019,53.37,6.0,36.06,54.91,142.28
2020,53.19,6.71,34.08,54.98,150.93
2021,56.84,4.24,25.14,57.69,170.32
2022,56.73,6.73,21.03,58.45,183.43
2023,62.54,0.3,30.99,61.18,199.69
